Objective	O
To	O
work	O
with	O
a	O
progressive	O
organization	O
in	O
which	O
I	O
contribute	O
my	O
technical	O
skills	O
and	O
experience	O
to	O
enhance	O
my	O
own	O
productivity	O
at	O
the	O
same	O
time	O
achieving	O
the	O
organizational	O
objectives	O
with	O
the	O
attribute	O
of	O
the	O
time	O
,	O
quality	O
and	O
discipline	O
Profile	O
Summary	O
Total	O
4	O
Years	O
&	O
8	O
Months	O
of	O
experience	O
in	O
CRM	O
Applications	O
Development	O
and	O
E-Learning	O
IPad	O
and	O
Android	O
tablet	O
application	O
.	O
2	O
years	O
of	O
windows	O
application	O
development	O
and	O
2	O
Year	O
and	O
8	O
months	O
of	O
Cross	O
Browser	O
Web	O
application	O
development	O
for	O
Desktop	O
,	O
IOS	O
and	O
Android	O
system	O
.	O
Good	O
knowledge	O
on	O
industry	O
domain	O
like	O
life	O
sciences	O
,	O
consumer	O
goods	O
and	O
E-Learning	O
.	O
Experience	O
in	O
JavaScript	O
,	O
JQuery	O
,	O
JQueryUI	O
,	O
JSON	O
,	O
HTML5	O
,	O
CSS3	O
,	O
C	O
#.Net	O
,	O
VBScript	O
.	O
Worked	O
on	O
Web	O
application	O
development	O
using	O
JavaScript	O
,	O
JQuery	O
libraries	O
and	O
frameworks	O
.	O
Experience	O
in	O
Analyzing	O
requirements	O
and	O
building	O
design	O
.	O
Good	O
knowledge	O
of	O
finding	O
out	O
Bugs	O
in	O
the	O
system	O
and	O
fixing	O
them	O
on	O
time	O
.	O
Strong	O
perseverance	O
and	O
diligence	O
towards	O
attaining	O
challenging	O
goals	O
and	O
effective	O
time	O
management	O
.	O
Demonstrated	O
capacity	O
to	O
support	O
,	O
implement	O
innovative	O
custom	O
solution	O
for	O
complex	O
requirements	O
.	O
Excellent	O
Problem	O
solving	O
skills	O
.	O
Technical	O
Skills	O
Overview	O
Primary	O
Skills	O
:	O
-	O
Tools	O
&	O
Script	O
:	O
HTML5	O
,	O
CSS3	O
,	O
JavaScript	O
,	O
Jquery	O
,	O
JSON	O
,	O
VBScript	O
,	O
Windows	O
Grep	O
,	O
Tortoise	O
SVN	O
Subversion	O
.	O
HTM5	O
Frameworks	O
:	O
Phaser	O
-LRB-	O
Game	O
application	O
development	O
-RRB-	O
.	O
Secondary	O
Skills	O
:	O
-	O
Programming	O
Languages	O
:	O
C	O
#.Net	O
Database	O
Technologies	O
:	O
SQL	O
.	O
HTM5	O
Frameworks	O
:	O
BackboneJS	O
,	O
FabricJS	O
.	O
Education	O
Degree	O
Year	O
Class	O
University	O
/	O
Board	O
S.S.C.	O
2000	O
Second	O
Class	O
Kolhapur	O
Board	O
D.C.E.	O
-LRB-	O
Dip	O
in	O
Comp	O
Engg	O
.	O
-RRB-	O
2005	O
Distinction	O
M.S.B.T.E.	O
B.E	O
-LRB-	O
CSE	O
-RRB-	O
2009	O
First	O
Class	O
Pune	O
-LRB-	O
Vishwakarma	O
Institute	O
of	O
Technology	O
-RRB-	O
Work	O
and	O
Experience	O
Current	O
Organization	O
:	O
Indecomm	O
Global	O
Services	O
,	O
Pune	O
.	O
Designation	O
:	O
Senior	O
Software	O
Engineer	O
.	O
--	O
March	O
2013	O
till	O
date	O
.	O
Projects	O
:	O
MWS-Drawing	O
Tool	O
,	O
World	O
Languages	O
,	O
Rapidel	O
.	O
Project	O
Domain	O
:	O
E-Learning	O
.	O
Client	O
:	O
HMH	O
.	O
Editor	O
and	O
Tools	O
:	O
-	O
Aptana	O
Studio	O
3.0	O
,	O
Notepad	O
+	O
+	O
.	O
Script	O
and	O
Framework	O
:	O
-	O
JavaScript	O
,	O
Backbone	O
and	O
Phaser	O
-LRB-	O
Mobile	O
Game	O
App	O
-RRB-	O
.	O
Database	O
:	O
-	O
JSON	O
files	O
.	O
Role	O
:	O
-	O
Senior	O
Software	O
Engineer	O
.	O
Duration	O
:	O
-	O
March	O
till	O
date	O
Project	O
Description	O
:	O
-	O
MWS	O
-	O
Drawing	O
tool	O
-LRB-	O
3	O
Months	O
-RRB-	O
:	O
-	O
Drawing	O
tool	O
is	O
to	O
provide	O
feedback	O
of	O
particular	O
test	O
to	O
